관리번호|법정동코드|시도명|시군구명|법정읍면동명|법정리명|산여부|지번본번|지번부번|도로명코드|도로명|지하여부|건물본번|건물부번|행정동코드|행정동명|우편번호|우편일련번호|고시일자|이동사유코드|변경전도로명주소|시군구용건물명|공동주택구분|기타
41370101201200300029700000|4137010100|경기도|오산시|오산동||0|805|5|413702012003|남부대로|0|297|0|4137052300|대원1동|18137||20210702|0||||
41370101201200300030100000|4137010100|경기도|오산시|오산동||0|950|0|413702012003|남부대로|0|301|0|4137052300|대원1동|18137||20111230|0|||인화건재철물|
41370101201200500052800000|4137010100|경기도|오산시|오산동||0|235|0|413702012005|동부대로|0|528|0|4137051000|중앙동|18148||20110729|0|||성도건축사사무소|
41370101201200500053400000|4137010100|경기도|오산시|오산동||0|228|0|413702012005|동부대로|0|534|0|4137051000|중앙동|18148||20110729|0|||웨딩의전당|
41370101201200500054000000|4137010100|경기도|오산시|오산동||0|162|3|413702012005|동부대로|0|540|0|4137051000|중앙동|18148||20110729|0|||기룡주유소(SK)|
41370101201200500055400000|4137010100|경기도|오산시|오산동||0|162|4|413702012005|동부대로|0|554|0|4137051000|중앙동|18148||20110729|0||||
41370101201201300027100000|4137010100|경기도|오산시|오산동||0|868|0|413702012013|경기대로|0|271|0|4137051000|중앙동|18135||20110729|0|||롯데마트오산점|
41370101201201300027400000|4137010100|경기도|오산시|오산동||0|867|4|413702012013|경기대로|0|274|0|4137051000|중앙동|18134||20110729|0|||스타빌딩|
41370101201201300027800000|4137010100|경기도|오산시|오산동||0|867|5|413702012013|경기대로|0|278|0|4137051000|중앙동|18134||20110729|0||||
41370101201201300028000000|4137010100|경기도|오산시|오산동||0|867|2|413702012013|경기대로|0|280|0|4137051000|중앙동|18134||20110729|0||||
41370101201201300028200000|4137010100|경기도|오산시|오산동||0|867|1|413702012013|경기대로|0|282|0|4137051000|중앙동|18134||20161121|0||||
41370101201201300028400000|4137010100|경기도|오산시|오산동||0|866|6|413702012013|경기대로|0|284|0|4137051000|중앙동|18134||20110729|0||||
41370101201201300028900000|4137010100|경기도|오산시|오산동||0|865|1|413702012013|경기대로|0|289|0|4137051000|중앙동|18135||20110729|1||오산대동다숲주상복합아파트||
41370101201201300029000000|4137010100|경기도|오산시|오산동||0|866|3|413702012013|경기대로|0|290|0|4137051000|중앙동|18134||20110729|0|||천지연|
41370101201201300029400000|4137010100|경기도|오산시|오산동||0|866|1|413702012013|경기대로|0|294|0|4137051000|중앙동|18134||20110729|0|||삼광빌딩|
41370101201201300029400003|4137010100|경기도|오산시|오산동||0|851|5|413702012013|경기대로|0|294|3|4137051000|중앙동|18134||20110729|0|||오산종합타일|
